Date,"Máximo da máxima","Média da máxima","Média da média","Média da mínima","Mínimo da mínima"
1/8/1965,33.70,28.96,23.81,18.66,15.50
1/9/1965,28.20,24.19,20.19,16.18,12.80
1/10/1965,24.90,21.41,18.60,15.79,11.50
1/11/1965,23.80,18.16,14.43,10.70,6.50
1/12/1965,19.30,16.41,12.57,8.74,6.40
1/1/1966,18.40,16.61,13.72,10.83,5.40
1/2/1966,19.00,17.21,13.70,10.20,6.00
1/3/1966,23.30,18.91,13.99,9.06,6.80
1/4/1966,25.50,20.03,15.93,11.84,7.70
1/5/1966,28.60,24.22,19.32,14.42,7.90
1/6/1966,31.70,25.60,20.70,15.81,9.80
1/7/1966,31.20,26.91,22.00,17.09,13.00
1/8/1966,34.20,28.13,22.88,17.62,14.30
1/9/1966,32.50,26.47,22.23,18.00,13.80
1/10/1966,28.40,21.32,17.19,13.06,7.00
1/11/1966,21.40,16.81,12.42,8.02,4.40
1/12/1966,18.30,16.39,11.75,7.11,3.60
1/1/1967,18.30,15.45,11.14,6.82,1.50
1/2/1967,21.80,16.53,12.64,8.74,5.60
1/3/1967,25.40,19.78,15.13,10.48,5.40
1/4/1967,24.80,19.10,14.85,10.60,5.00
1/5/1967,29.60,21.84,17.33,12.82,8.20
1/6/1967,29.60,25.08,20.78,16.48,13.00
1/7/1967,38.40,28.49,23.21,17.93,14.30
1/8/1967,35.40,28.77,23.54,18.31,14.80
1/9/1967,31.20,24.78,20.29,15.80,12.20
1/10/1967,26.60,22.68,18.65,14.62,8.40
1/11/1967,22.50,17.84,14.55,11.26,7.40
1/12/1967,18.20,14.90,10.77,6.64,0.60
1/1/1968,22.40,16.13,11.29,6.45,2.40
1/2/1968,18.00,15.90,12.59,9.28,4.40
1/3/1968,20.60,16.66,12.86,9.07,4.00
1/4/1968,23.60,18.70,14.64,10.59,4.00
1/5/1968,30.20,23.09,18.01,12.93,7.50
1/6/1968,32.50,25.22,20.69,16.15,12.80
1/7/1968,34.20,28.51,23.20,17.88,13.00
1/8/1968,33.00,28.01,23.00,17.99,14.40
1/9/1968,32.00,26.19,21.30,16.40,12.40
1/10/1968,28.60,24.01,19.68,15.35,12.40
1/11/1968,21.80,19.16,15.63,12.10,8.00
1/12/1968,22.20,16.70,12.54,8.37,2.80
1/1/1969,18.20,15.98,12.98,9.97,4.00
1/2/1969,18.40,15.25,12.25,9.25,3.20
1/3/1969,20.20,17.08,13.49,9.89,4.30
1/4/1969,25.40,20.09,15.06,10.03,4.80
1/5/1969,27.40,21.48,16.98,12.47,8.00
1/6/1969,30.60,24.61,19.89,15.17,11.40
1/7/1969,36.00,29.31,24.09,18.88,15.20
1/8/1969,33.60,29.75,23.87,17.99,14.70
1/9/1969,27.00,24.81,19.79,14.77,10.60
1/10/1969,25.70,22.79,18.71,14.63,11.20
1/11/1969,22.40,18.39,13.97,9.56,4.40
1/12/1969,18.60,15.83,10.79,5.75,2.00
1/1/1970,19.20,16.24,13.01,9.78,2.50
1/2/1970,20.40,17.12,12.13,7.13,3.40
1/3/1970,20.40,17.12,12.26,7.40,3.40
1/4/1970,27.80,21.21,15.80,10.38,5.00
1/5/1970,30.60,22.91,17.94,12.97,7.40
1/6/1970,29.60,24.68,20.01,15.33,12.00
1/7/1970,34.80,29.49,23.58,17.68,13.50
1/8/1970,33.00,27.65,22.26,16.87,14.20
1/9/1970,32.80,28.05,22.85,17.65,12.10
1/10/1970,31.20,23.45,18.40,13.36,8.60
1/11/1970,24.80,20.62,16.00,11.38,7.00
1/12/1970,18.20,15.00,10.45,5.89,0.50
1/1/1971,18.00,15.10,11.31,7.51,-0.60
1/2/1971,25.60,17.31,12.45,7.59,4.00
1/3/1971,23.80,17.22,12.30,7.38,2.20
1/4/1971,22.20,18.28,14.02,9.75,6.00
1/5/1971,23.90,19.81,15.66,11.51,7.60
1/6/1971,30.40,24.10,18.84,13.57,9.00
1/7/1971,35.90,27.57,22.65,17.73,14.00
1/8/1971,32.40,27.41,21.56,15.71,11.80
1/9/1971,31.40,26.97,21.45,15.94,11.60
1/10/1971,29.70,25.45,20.87,16.29,13.00
1/11/1971,23.40,18.55,13.63,8.71,2.60
1/12/1971,19.40,16.28,11.90,7.51,2.40
1/1/1972,17.00,15.03,10.74,6.45,0.30
1/2/1972,18.50,15.59,11.68,7.76,2.60
1/3/1972,22.40,16.64,12.35,8.06,3.20
1/4/1972,25.60,20.78,15.41,10.04,7.40
1/5/1972,33.80,23.78,17.27,10.77,6.50
1/6/1972,30.40,25.05,18.95,12.85,8.40
1/7/1972,36.00,27.40,21.91,16.41,12.40
1/8/1972,32.60,27.98,22.23,16.48,12.40
1/9/1972,30.40,23.87,19.26,14.66,11.00
1/10/1972,24.40,21.27,17.49,13.71,8.40
1/11/1972,21.20,19.63,15.28,10.92,7.60
1/12/1972,18.00,16.46,12.48,8.50,3.60
1/1/1973,17.40,15.44,10.90,6.37,3.40
1/2/1973,22.40,16.90,11.71,6.52,1.00
1/3/1973,22.60,18.08,13.11,8.14,4.00
1/4/1973,25.00,20.27,15.09,9.90,5.60
1/5/1973,28.00,22.60,17.65,12.70,8.00
1/6/1973,30.00,25.18,20.26,15.34,11.00
1/7/1973,36.20,27.96,22.26,16.57,10.50
1/8/1973,34.40,28.91,23.43,17.96,13.00
1/9/1973,29.60,26.81,21.05,15.30,11.10
1/10/1973,26.00,22.46,17.85,13.24,6.20
1/11/1973,22.00,20.17,15.96,11.74,4.80
1/12/1973,18.40,16.34,10.83,5.33,1.30
1/1/1974,20.00,17.25,12.64,8.03,2.00
1/2/1974,18.60,16.38,11.66,6.93,3.40
1/3/1974,22.60,17.87,12.74,7.60,3.00
1/4/1974,20.00,17.90,13.24,8.58,4.40
1/5/1974,30.40,22.68,17.55,12.42,5.90
1/6/1974,30.70,24.81,20.30,15.79,11.60
1/7/1974,36.50,30.70,25.01,19.32,14.20
1/8/1974,37.60,29.97,23.94,17.90,11.60
1/9/1974,30.60,25.98,20.30,14.61,11.80
1/10/1974,28.60,22.57,16.73,10.88,6.00
1/11/1974,27.40,19.79,14.80,9.82,5.00
1/12/1974,25.40,18.12,13.14,8.15,4.00
1/1/1975,19.20,16.97,12.35,7.73,2.40
1/2/1975,20.40,17.24,13.34,9.45,4.00
1/3/1975,22.20,17.43,12.53,7.64,1.80
1/4/1975,24.50,19.93,14.81,9.68,4.70
1/5/1975,26.70,21.33,16.33,11.34,8.60
1/6/1975,28.00,24.42,19.45,14.48,10.40
1/7/1975,39.80,30.23,23.76,17.29,13.00
1/8/1975,37.00,30.78,24.24,17.69,14.00
1/9/1975,32.00,25.98,20.54,15.10,10.20
1/10/1975,29.60,23.90,18.79,13.67,6.60
1/11/1975,24.40,20.29,15.08,9.87,3.50
1/12/1975,18.40,15.36,11.63,7.90,4.00
1/1/1976,19.60,16.33,10.79,5.25,-0.80
1/2/1976,21.80,17.45,13.12,8.78,5.00
1/3/1976,22.60,18.83,13.78,8.73,3.40
1/4/1976,23.20,18.11,13.51,8.91,5.00
1/5/1976,29.80,22.35,17.33,12.32,8.70
1/6/1976,31.40,27.95,22.68,17.41,13.60
1/7/1976,36.60,29.92,24.26,18.59,14.40
1/8/1976,39.40,30.18,24.30,18.42,13.90
1/9/1976,28.00,25.86,20.86,15.85,10.80
1/10/1976,26.60,22.18,17.07,11.96,7.00
1/11/1976,21.00,18.42,12.88,7.34,2.50
1/12/1976,25.00,17.74,13.92,10.10,4.80
1/1/1977,18.60,16.31,12.53,8.76,2.60
1/2/1977,22.00,17.33,13.05,8.77,3.60
1/3/1977,23.40,19.53,14.23,8.93,3.00
1/4/1977,27.60,22.12,16.10,10.07,4.60
1/5/1977,28.80,23.03,17.17,11.31,5.60
1/6/1977,33.00,24.12,18.36,12.59,7.40
1/7/1977,32.20,27.56,21.63,15.69,12.00
1/8/1977,32.30,28.10,21.67,15.23,12.00
1/9/1977,31.40,26.96,21.48,16.01,11.40
1/10/1977,28.80,23.05,18.37,13.68,10.00
